Started: 8:45 AM

Control: (started after previous ice experiment)

------------------------------
Entry: 0, Minute: 0, Seconds: 0, Temp: 16.70
Entry: 1, Minute: 0, Seconds: 1, Temp: 16.70
Entry: 2, Minute: 0, Seconds: 2, Temp: 16.70
Entry: 3, Minute: 0, Seconds: 3, Temp: 16.70
Entry: 4, Minute: 0, Seconds: 4, Temp: 16.70
Entry: 5, Minute: 0, Seconds: 5, Temp: 16.80
Entry: 6, Minute: 0, Seconds: 6, Temp: 16.70
Entry: 7, Minute: 0, Seconds: 7, Temp: 16.70
Entry: 8, Minute: 0, Seconds: 8, Temp: 16.70
Entry: 9, Minute: 0, Seconds: 9, Temp: 16.70
Entry: 10, Minute: 0, Seconds: 10, Temp: 16.80
Entry: 11, Minute: 0, Seconds: 11, Temp: 16.80
Entry: 12, Minute: 0, Seconds: 12, Temp: 16.70
Entry: 13, Minute: 0, Seconds: 13, Temp: 16.70
Entry: 14, Minute: 0, Seconds: 14, Temp: 16.80
Entry: 15, Minute: 0, Seconds: 15, Temp: 16.80
Entry: 16, Minute: 0, Seconds: 16, Temp: 16.80
Entry: 17, Minute: 0, Seconds: 17, Temp: 16.80
Entry: 18, Minute: 0, Seconds: 18, Temp: 16.80
Entry: 19, Minute: 0, Seconds: 19, Temp: 16.80
Entry: 20, Minute: 0, Seconds: 20, Temp: 16.80
Entry: 21, Minute: 0, Seconds: 22, Temp: 16.80
Entry: 22, Minute: 0, Seconds: 23, Temp: 16.80
Entry: 23, Minute: 0, Seconds: 24, Temp: 16.80
Entry: 24, Minute: 0, Seconds: 25, Temp: 16.80
Entry: 25, Minute: 0, Seconds: 26, Temp: 16.80
Entry: 26, Minute: 0, Seconds: 27, Temp: 16.80
Entry: 27, Minute: 0, Seconds: 28, Temp: 16.80
Entry: 28, Minute: 0, Seconds: 29, Temp: 16.80
Entry: 29, Minute: 0, Seconds: 30, Temp: 16.80
Entry: 30, Minute: 0, Seconds: 31, Temp: 16.80
Entry: 31, Minute: 0, Seconds: 32, Temp: 16.80
Entry: 32, Minute: 0, Seconds: 33, Temp: 16.80
Entry: 33, Minute: 0, Seconds: 34, Temp: 16.80
Entry: 34, Minute: 0, Seconds: 35, Temp: 16.80
Entry: 35, Minute: 0, Seconds: 36, Temp: 16.80
Entry: 36, Minute: 0, Seconds: 37, Temp: 16.80
Entry: 37, Minute: 0, Seconds: 38, Temp: 16.80
Entry: 38, Minute: 0, Seconds: 39, Temp: 16.80
Entry: 39, Minute: 0, Seconds: 40, Temp: 16.80
Entry: 40, Minute: 0, Seconds: 41, Temp: 16.80
Entry: 41, Minute: 0, Seconds: 42, Temp: 16.80
Entry: 42, Minute: 0, Seconds: 43, Temp: 16.80
Entry: 43, Minute: 0, Seconds: 44, Temp: 16.80
Entry: 44, Minute: 0, Seconds: 45, Temp: 16.80
Entry: 45, Minute: 0, Seconds: 46, Temp: 16.80
Entry: 46, Minute: 0, Seconds: 47, Temp: 16.80
Entry: 47, Minute: 0, Seconds: 48, Temp: 16.80
Entry: 48, Minute: 0, Seconds: 49, Temp: 16.80
Entry: 49, Minute: 0, Seconds: 50, Temp: 16.80
Entry: 50, Minute: 0, Seconds: 51, Temp: 16.80
Entry: 51, Minute: 0, Seconds: 52, Temp: 16.80
Entry: 52, Minute: 0, Seconds: 53, Temp: 16.80
Entry: 53, Minute: 0, Seconds: 54, Temp: 16.80
Entry: 54, Minute: 0, Seconds: 55, Temp: 16.80
Entry: 55, Minute: 0, Seconds: 56, Temp: 16.80
Entry: 56, Minute: 0, Seconds: 57, Temp: 16.80
Entry: 57, Minute: 0, Seconds: 58, Temp: 16.80
Entry: 58, Minute: 0, Seconds: 59, Temp: 16.80
Entry: 59, Minute: 1, Seconds: 0, Temp: 16.80
Entry: 60, Minute: 1, Seconds: 1, Temp: 16.90
Entry: 61, Minute: 1, Seconds: 2, Temp: 16.80
